28 168
1 7 27
1 11 29
1 21 37
1 23 21
1 28 21
2 7 25
2 9 19
2 14 25
2 15 37
2 22 25
2 25 9
2 28 15
3 1 46
3 4 23
3 11 43
3 15 29
3 17 49
3 26 19
4 1 28
4 6 1
4 16 3
4 18 19
4 24 49
5 4 16
5 7 1
5 12 41
5 18 33
5 22 11
5 24 -1
6 1 36
6 2 8
6 5 4
6 7 39
6 8 21
6 16 35
6 25 29
6 27 35
7 10 1
7 15 11
7 18 9
8 1 40
8 3 40
8 9 3
8 14 17
8 15 17
8 17 9
8 20 41
8 26 29
8 27 7
9 1 12
9 11 15
9 19 11
9 22 37
9 28 49
10 1 8
10 3 28
10 5 28
10 11 -1
10 14 21
10 20 9
10 22 21
10 24 43
10 28 7
11 13 1
11 14 1
11 17 11
11 18 37
11 19 29
12 1 38
12 11 6
12 14 41
12 20 13
12 25 35
12 28 13
13 2 24
13 4 44
13 6 12
13 8 46
13 9 46
13 18 45
13 20 9
13 21 -1
13 22 23
13 26 25
14 3 -2
14 15 17
14 18 29
14 23 31
14 27 37
15 1 48
15 5 38
15 9 30
15 12 2
15 26 45
15 28 39
16 2 36
16 8 6
16 10 46
16 14 26
16 15 42
16 22 39
17 4 50
17 5 12
17 7 24
17 10 48
17 14 -2
17 19 3
17 20 9
17 28 17
18 2 16
18 6 14
18 9 18
18 15 36
18 17 26
18 20 11
18 23 21
18 26 17
19 3 30
19 5 20
19 8 20
19 10 -2
19 14 46
19 16 20
20 4 42
20 9 44
20 24 39
21 4 40
21 6 28
21 12 12
22 1 16
22 11 36
22 12 44
22 14 14
22 15 28
22 17 48
22 25 5
22 28 49
23 4 16
23 8 30
23 17 42
23 24 41
24 13 12
24 14 38
24 21 34
24 22 4
25 4 26
25 7 24
25 9 10
25 10 12
25 17 32
25 20 18
25 21 30
25 24 16
26 1 10
26 4 8
26 5 6
26 7 38
26 19 8
26 20 20
26 28 35
27 9 40
27 13 46
27 15 28
27 18 42
27 21 6
27 23 -2
28 16 26
28 20 46
